95.0,85.0,10.0,40.6,0.68,9.6,40.4,78.9,59.6,18.8,41.2,47.6,100.5,62.,85.0,95.0,-10.0,58.1,1.29,14.0,21.1,59.6,40.4,14.0,37.4,43.4,100.5,37.,1
109.1,78.7,30.4,51.5,1.42,13.9,34.7,74.5,55.0,13.6,46.3,51.7,88.5,75.,78.7,109.1,-30.4,23.8,0.31,4.8,25.5,65.3,45.0,18.0,33.3,41.7,88.5,24.,1
109.5,110.5,-1.1,40.0,0.89,12.4,36.7,57.4,47.6,18.9,51.8,55.4,95.0,44.,110.5,109.5,1.1,48.5,1.33,12.0,42.6,63.3,52.4,12.6,40.0,50.3,95.0,56.,0
95.7,94.8,1.0,70.6,1.2,18.9,22.0,69.1,49.0,21.3,51.4,54.5,95.0,55.,94.8,95.7,-1.0,54.8,1.31,13.2,30.9,78.0,51.0,13.5,41.3,47.5,95.0,44.,0
113.5,95.8,17.8,74.4,1.78,23.0,29.3,68.4,52.0,18.8,61.7,61.6,95.5,65.,95.8,113.5,-17.8,53.1,1.0,13.1,31.6,70.7,48.0,17.9,41.6,46.9,95.5,34.,1
111.6,120.0,-8.4,47.7,2.1,16.2,30.0,68.0,49.0,10.5,52.2,53.7,95.0,46.,120.0,111.6,8.4,45.7,1.91,15.9,32.0,70.0,51.0,11.6,54.7,56.8,95.0,53.,0
105.3,101.1,4.3,55.9,1.12,14.4,41.7,73.8,56.7,18.1,45.1,52.5,94.0,50.,101.1,105.3,-4.3,42.1,0.89,13.3,26.2,58.3,43.3,19.1,52.6,55.7,94.0,49.,1
97.9,104.2,-6.2,43.2,0.94,12.0,36.2,77.3,53.9,17.5,46.0,48.0,96.5,42.,104.2,97.9,6.2,59.5,1.47,17.3,22.7,63.8,46.1,15.6,52.6,56.1,96.5,57.,0
113.0,116.3,-3.3,56.4,1.69,17.2,33.3,67.5,48.9,14.1,52.5,56.1,92.0,45.,116.3,113.0,3.3,60.0,1.6,18.8,32.5,66.7,51.1,16.3,57.8,61.1,92.0,54.,0
99.1,81.7,17.4,62.8,1.5,18.1,23.1,60.7,43.4,16.4,50.5,54.0,109.5,70.,81.7,99.1,-17.4,48.4,0.52,10.1,39.3,76.9,56.6,26.6,38.2,43.2,109.5,29.,1
102.1,88.7,13.4,48.6,1.0,13.3,38.2,73.5,54.8,18.6,45.5,49.5,97.0,59.,88.7,102.1,-13.4,36.1,0.68,10.7,26.5,61.8,45.2,19.6,47.6,48.3,97.0,40.,1
101.0,91.9,9.1,45.9,1.06,12.6,35.2,67.9,51.8,16.0,45.9,50.7,99.5,61.,91.9,101.0,-9.1,45.2,0.78,10.8,32.1,64.8,48.2,18.2,40.9,46.7,99.5,38.,1
94.9,107.0,-12.1,51.4,1.0,14.8,23.9,68.4,48.5,19.2,47.5,52.1,99.5,45.,107.0,94.9,12.1,47.1,1.33,12.0,31.6,76.1,51.5,12.0,43.3,51.2,99.5,54.,0
112.6,101.1,11.5,59.4,1.06,15.7,39.0,80.0,57.9,20.7,52.8,59.1,87.0,59.,101.1,112.6,-11.5,43.3,0.72,12.3,20.0,61.0,42.1,20.7,53.9,59.4,87.0,40.,1
94.7,104.2,-9.5,72.7,1.71,18.3,24.1,82.1,48.4,14.7,42.4,47.8,95.0,44.,104.2,94.7,9.5,51.3,1.25,16.5,17.9,75.9,51.6,16.8,54.5,57.9,95.0,56.,0
90.7,114.8,-24.1,53.3,1.07,12.7,40.0,80.0,54.7,17.4,37.1,41.0,87.0,24.,114.8,90.7,24.1,80.6,3.63,23.6,20.0,60.0,45.3,9.1,57.5,61.6,87.0,75.,0
87.4,105.3,-18.0,60.7,1.0,13.0,35.1,76.1,53.4,17.9,36.6,43.4,94.5,36.,105.3,87.4,18.0,63.9,1.64,18.0,23.9,64.9,46.6,14.9,51.3,55.1,94.5,64.,0
97.1,118.8,-21.8,31.3,0.71,8.3,22.9,75.0,47.8,13.7,43.1,52.1,101.5,35.,118.8,97.1,21.8,72.7,2.0,22.2,25.0,77.1,52.2,15.8,57.2,62.4,101.5,64.,0
